field_name,data_type,nullable,domain_or_unit,level,role,definition,source_or_derivation,missing_rule,allowed_tasks
candidate_target_threat_max,float64,true,normalized threat score,action_pair,base_feature,Maximum observed candidate threat across non-noop branches,Derived from branch fields,Null only when both branches no-op,DST-03:DST-04
candidate_target_threat_abs_diff,float64,true,normalized threat score,action_pair,base_feature,Absolute branch threat difference,Absolute difference of branch fields,Null when either branch is no-op,DST-03:DST-04
candidate_target_threat_missing_a,bool,false,true|false,action_pair,base_feature,Missingness indicator for branch a threat,is_noop_a or unavailable target field,Never missing,DST-03:DST-04
candidate_target_threat_missing_b,bool,false,true|false,action_pair,base_feature,Missingness indicator for branch b threat,is_noop_b or unavailable target field,Never missing,DST-03:DST-04
suffix_count_a,int64,false,positive integer,action_pair,descriptive,Number of unique feasible ordered suffixes after action_a,Exact suffix enumeration,Must be greater than 0,DST-02:DST-04
suffix_count_b,int64,false,positive integer,action_pair,descriptive,Number of unique feasible ordered suffixes after action_b,Exact suffix enumeration,Must be greater than 0,DST-02:DST-04
intersection_count,int64,false,nonnegative integer,action_pair,metric_component,Size of suffix-set intersection,Exact set intersection,Never missing,DST-02:DST-04
union_count,int64,false,positive integer,action_pair,metric_component,Size of suffix-set union,Exact set union,Must be greater than 0,DST-02:DST-04
completion_count_ratio,float64,false,0 to 1,action_pair,descriptive,Minimum suffix count divided by maximum suffix count,Derived from suffix counts,Description only; never substitute for DS,DST-02:DST-04
ds_jaccard,float64,false,0 to 1,action_pair,primary_predictor,One minus suffix intersection over union,Exact frozen formula,Never missing for eligible_main rows,DST-02:DST-06
old_prob_a,float64,false,0 to 1,action_pair,policy,Old policy probability of action_a renormalized on exact legal set,Old policy forward pass,Never missing,DST-03:DST-07
old_prob_b,float64,false,0 to 1,action_pair,policy,Old policy probability of action_b renormalized on exact legal set,Old policy forward pass,Never missing,DST-03:DST-07
r_old_a,float64,false,0 to 1,action_pair,metric_component,Expected DS from action_a to an old-policy action,Frozen r_old formula,Never missing,DST-02:DST-07
r_old_b,float64,false,0 to 1,action_pair,metric_component,Expected DS from action_b to an old-policy action,Frozen r_old formula,Never missing,DST-02:DST-07
downstream_argmax_a,string,false,canonical JSON array,action_pair,mechanical_outcome,Old-policy deterministic downstream argmax suffix after action_a,Masked old-policy rollout in same decision step,Never missing,DST-03:DST-04
downstream_argmax_b,string,false,canonical JSON array,action_pair,mechanical_outcome,Old-policy deterministic downstream argmax suffix after action_b,Masked old-policy rollout in same decision step,Never missing,DST-03:DST-04
downstream_argmax_changed,bool,false,true|false,action_pair,mechanical_outcome,Whether downstream_argmax_a differs from downstream_argmax_b,Exact tuple inequality,Sanity outcome only,DST-03:DST-04
high_threat_legal_but_unassigned_a,bool,false,true|false,action_pair,primary_outcome,Whether branch a leaves a high-threat target legal somewhere downstream but unassigned,Frozen Task10 high-threat threshold and branch suffix,Never missing,DST-03:DST-04
high_threat_legal_but_unassigned_b,bool,false,true|false,action_pair,primary_outcome,Whether branch b leaves a high-threat target legal somewhere downstream but unassigned,Frozen Task10 high-threat threshold and branch suffix,Never missing,DST-03:DST-04
high_threat_legal_but_unassigned_changed,bool,false,true|false,action_pair,primary_outcome,Whether high-threat unassigned state differs across branches,XOR of branch outcomes,Never missing,DST-03:DST-04
prefix_denied_a,bool,false,true|false,action_pair,primary_outcome,Whether action_a occupies a target otherwise available to at least one downstream unit,Mask comparison against pre-action availability,Never missing,DST-03:DST-04
prefix_denied_b,bool,false,true|false,action_pair,primary_outcome,Whether action_b occupies a target otherwise available to at least one downstream unit,Mask comparison against pre-action availability,Never missing,DST-03:DST-04
prefix_denied_changed,bool,false,true|false,action_pair,primary_outcome,Whether prefix denial differs across branches,XOR of branch outcomes,Never missing,DST-03:DST-04
engagement_count_a,int32,false,0 to n,action_pair,outcome_component,Joint argmax engagement count under branch a,Prefix plus current action plus downstream argmax,Never missing,DST-03:DST-04
engagement_count_b,int32,false,0 to n,action_pair,outcome_component,Joint argmax engagement count under branch b,Prefix plus current action plus downstream argmax,Never missing,DST-03:DST-04
engagement_extreme_direction,int8,false,-1|0|1,action_pair,primary_outcome,Canonical a-to-b movement toward all-noop or all-available engagement extreme,Frozen branch comparison,Never missing,DST-03:DST-04
engagement_extreme_direction_nonzero,bool,false,true|false,action_pair,primary_outcome,Whether the canonical branch comparison crosses either engagement extreme boundary,engagement_extreme_direction != 0,Never missing,DST-03:DST-04
approx_kl,float64,true,nonnegative,update,baseline_predictor,PPO approximate KL at completed update,Training dynamics,Required for DST-05 and DST-06,DST-05:DST-06
clip_fraction,float64,true,0 to 1,update,baseline_predictor,PPO clipped-ratio fraction at completed update,Training dynamics,Required for DST-05 and DST-06,DST-05:DST-06
entropy,float64,true,nats,update,baseline_predictor,Policy entropy at completed update,Training dynamics,Required for DST-05 and DST-06,DST-05:DST-06
unweighted_prefix_flip_rate,float64,true,0 to 1,update,baseline_predictor,Fraction of eligible contexts whose joint or prefix decision flips without DS weight,Frozen probe comparison,Required for DST-05 and DST-06,DST-05:DST-06
ds_weighted_flip_mass,float64,true,0 to 1,update,primary_predictor,Mean eligible-context flip indicator weighted by frozen structural risk,Frozen probe comparison,Required for DST-05 and DST-06,DST-05:DST-06
event_within_3_updates,bool,true,true|false,update,primary_outcome,Whether a first frozen failure event occurs one to three completed updates ahead,Forward event construction,Null for concurrent post-event or censored tail rows,DST-06
all_noop_episode_rate,float64,true,0 to 1,run,gate_metric,Fraction of evaluation episodes with no engagements,Formal evaluation,Required for DST-06 and DST-08,DST-06:DST-09
actionable_engagement_rate,float64,true,0 to 1,run,gate_metric,Rate of actionable engagements,Formal evaluation,Required for DST-06 and DST-08,DST-06:DST-09
high_threat_leak_rate,float64,true,0 to 1,run,gate_metric,High-threat target leak rate under frozen project semantics,Formal evaluation,Required for DST-06 and DST-08,DST-06:DST-09
avg_reward,float64,true,return per episode,run,gate_metric,Mean evaluation reward,Formal evaluation,Required for DST-08,DST-08:DST-09
avg_total_damage,float64,true,damage per episode,run,gate_metric,Mean total damage,Formal evaluation,Required for DST-06 and DST-08,DST-06:DST-09
avg_resource_cost,float64,true,cost per episode,run,gate_metric,Mean resource cost,Formal evaluation,Required for DST-06 and DST-08,DST-06:DST-09
target_pairwise_accuracy,float64,true,0 to 1,run,gate_metric,Conditional target-logit pair ranking accuracy on frozen counterfactual target pairs,Task14-compatible pairwise evaluation,At least 30 valid pairs per seed,DST-08:DST-09
joint_argmax_change_rate,float64,true,0 to 1,run,anti_freeze_metric,Fraction of frozen probes whose joint argmax differs from pretraining baseline,Frozen probe comparison,Required for DST-08,DST-08:DST-09
beneficial_flip_rate,float64,true,0 to 1,run,anti_freeze_metric,Rate of flips improving frozen safety outcome without resource-gate violation,Paired frozen evaluation,Required for DST-08,DST-08:DST-09
harmful_flip_rate,float64,true,0 to 1,run,anti_freeze_metric,Rate of flips worsening frozen safety outcome or violating resource gate,Paired frozen evaluation,Required for DST-08,DST-08:DST-09
